indexing_stage,datastore,compression,optimization,query_processing,avg,p95,p99,throughput,size
positional,pickle,none,none,taat,1.38,3.42,10.26,669.26,73.35
positional,pickle,none,none,daat,0.68,1.22,1.72,1378.21,73.35
positional,pickle,none,skip_pointers,taat,1.26,3.38,4.32,761.90,75.83
positional,pickle,none,skip_pointers,daat,1.14,2.01,2.22,837.16,75.83
positional,pickle,zlib,none,taat,0.67,1.85,2.19,1410.85,43.75
positional,pickle,zlib,none,daat,0.68,1.32,1.66,1414.65,43.75
positional,pickle,zlib,skip_pointers,taat,1.07,3.15,3.44,900.88,45.07
positional,pickle,zlib,skip_pointers,daat,0.71,1.26,1.78,1334.82,45.07
positional,postgres,none,none,taat,12.60,28.84,46.29,78.78,364.35
positional,postgres,none,none,daat,13.38,32.05,49.39,74.36,364.35
positional,postgres,none,skip_pointers,taat,18.61,51.66,103.89,53.46,364.35
positional,postgres,none,skip_pointers,daat,12.94,32.68,45.89,76.76,364.35
positional,postgres,zlib,none,taat,16.87,44.83,63.96,58.86,396.49
positional,postgres,zlib,none,daat,20.57,84.06,93.74,48.39,396.49
positional,postgres,zlib,skip_pointers,taat,15.56,38.31,60.59,63.71,396.49
positional,postgres,zlib,skip_pointers,daat,30.38,79.58,284.75,32.78,396.49
tf,pickle,none,none,taat,0.98,2.73,4.62,964.44,129.74
tf,pickle,none,none,daat,6.53,17.86,19.48,151.56,129.74
tf,pickle,none,skip_pointers,taat,1.19,3.50,3.60,811.35,132.23
tf,pickle,none,skip_pointers,daat,4.80,12.11,16.54,207.04,132.23
tf,pickle,zlib,none,taat,1.07,3.01,3.26,892.27,49.04
tf,pickle,zlib,none,daat,6.19,15.00,19.13,160.00,49.04
tf,pickle,zlib,skip_pointers,taat,1.48,3.81,4.10,531.60,50.38
tf,pickle,zlib,skip_pointers,daat,6.01,15.31,19.64,164.37,50.38
tf,postgres,none,none,taat,14.65,49.09,51.72,67.83,364.35
tf,postgres,none,none,daat,19.69,47.07,67.40,50.56,364.35
tf,postgres,none,skip_pointers,taat,15.43,48.23,51.29,64.40,364.35
tf,postgres,none,skip_pointers,daat,18.02,43.60,60.11,55.19,364.35
tf,postgres,zlib,none,taat,14.59,36.07,69.36,68.14,396.49
tf,postgres,zlib,none,daat,16.70,38.30,58.99,59.63,396.49
tf,postgres,zlib,skip_pointers,taat,14.44,43.55,44.85,68.92,396.49
tf,postgres,zlib,skip_pointers,daat,18.32,49.02,57.08,54.38,396.49
tfidf,pickle,none,none,taat,1.86,5.35,5.57,510.87,129.74
tfidf,pickle,none,none,daat,8.60,20.65,24.96,115.34,129.74
tfidf,pickle,none,skip_pointers,taat,4.95,14.36,15.34,184.73,132.23
tfidf,pickle,none,skip_pointers,daat,12.31,30.61,42.69,80.05,132.23
tfidf,pickle,zlib,none,taat,1.28,3.40,4.64,585.68,49.04
tfidf,pickle,zlib,none,daat,7.19,17.35,24.66,137.97,49.04
tfidf,pickle,zlib,skip_pointers,taat,1.82,5.05,5.30,492.74,50.38
tfidf,pickle,zlib,skip_pointers,daat,9.10,23.77,29.36,108.93,50.38
tfidf,postgres,none,none,taat,42.86,97.63,365.32,23.25,364.35
tfidf,postgres,none,none,daat,22.39,58.07,74.33,44.53,364.35
tfidf,postgres,none,skip_pointers,taat,13.04,31.26,48.15,76.21,364.35
tfidf,postgres,none,skip_pointers,daat,21.64,50.13,73.85,45.99,364.35
tfidf,postgres,zlib,none,taat,15.36,33.23,49.72,64.64,396.49
tfidf,postgres,zlib,none,daat,17.64,41.05,60.12,56.49,396.49
tfidf,postgres,zlib,skip_pointers,taat,21.02,71.47,94.91,47.42,396.49
tfidf,postgres,zlib,skip_pointers,daat,30.48,96.05,114.03,32.74,396.49
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,#NAME?,,,,
